Learning Rate,No. of hidden layers,Size of each hidden layer,λ(regulariser),RMSE(train),RMSE(dev)
0.001,1,64,0,10.644045909959866,10.486696333927096
0.001,1,64,5,77.17532381964241,77.20366312552792
0.001,1,128,0,10.514898636379398,10.329482078013399
0.001,1,128,5,16.673056308507647,16.498545390427605
0.001,2,64,0,nan,nan
0.001,2,64,5,nan,nan
0.001,2,128,0,nan,nan
0.001,2,128,5,nan,nan
0.01,1,64,0,10.459090145259609,10.286155744494636
0.01,1,64,5,76.185513102339,76.21347125016679
0.01,1,128,0,10.925539193406735,10.726751605215812
0.01,1,128,5,76.185513102339,76.21347125016679
0.01,2,64,0,nan,nan
0.01,2,64,5,nan,nan
0.01,2,128,0,nan,nan
0.01,2,128,5,nan,nan
